note_id,type,title,desc,video_url,time,last_update_time,user_id,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,image_list,tag_list,last_modify_ts,note_url,source_keyword,xsec_token
6911eccc0000000007036a2a,video,这个谁用谁知道,#日常[话题]#,http://sns-video-alos.xhscdn.com/stream/1/110/259/01e932b9321b1235010370039aee238816_259.mp4,1762782412000,1766113519000,68a2939200000000190212d2,兑现春天,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31pltbtlujq3g5q52ie96c4misqc4r90,1.1万,713,211,1590,,http://sns-webpic-qc.xhscdn.com/202604082219/2121f09dae09a4ba2ceaad7863294c48/1040g2sg31q8qh2rnn0605q52ie96c4misjvr900!nd_dft_wlteh_webp_3,日常,1775658006548,https://www.xiaohongshu.com/explore/6911eccc0000000007036a2a?xsec_token=ABarF9QTcIKLdfaH-xe20AG535McWUzFqIHAeAojr7c74=&xsec_source=pc_search,宝拉珍选,ABarF9QTcIKLdfaH-xe20AG535McWUzFqIHAeAojr7c74=
6961fe8c000000001a023769,video,皮肤博士1句话点评平价A醇🈚️广纯分享,"你用过哪一款？
@露得清
@Paula's Choice宝拉珍选
@CeraVe适乐肤
@理肤泉larocheposay
@skinbetter science
@versed @roc
#护肤分享[话题]# #精简护肤[话题]# #早C晚A[话题]# #A醇[话题]# #精华[话题]# #面霜[话题]# #寻找美护新玩家[话题]# #我的护肤日常[话题]#",http://sns-video-alos.xhscdn.com/stream/79/110/259/01e9627f28073d20010370039ba8c2b6ee_259.mp4,1768042561000,1768065154000,60ba4337000000000100194d,DermTalk,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo311812rlsmc005o5q8crg86adl53nabo,4188,5415,83,387,,http://sns-webpic-qc.xhscdn.com/202604082219/bfd04ed87e580f2a21cc5bb9d34f8668/spectrum/1040g0k031r5s89ih70005o5q8crg86ad875otk8!nd_dft_wlteh_webp_3,"护肤分享,精简护肤,早C晚A,A醇,精华,面霜,寻找美护新玩家,我的护肤日常",1775658006551,https://www.xiaohongshu.com/explore/6961fe8c000000001a023769?xsec_token=ABnBdRlCdw0yDV7l6XbK3PTOfXZwBuxztK_2xJwimyx70=&xsec_source=pc_search,宝拉珍选,ABnBdRlCdw0yDV7l6XbK3PTOfXZwBuxztK_2xJwimyx70=
60ea7f8d000000000102e905,normal,宝拉珍选水杨酸！磨皮（去油脂粒）王者,"用一片化妆棉，吸满这个液体，先轻擦两侧脸颊几次，然后敷在鼻子上大概四五分钟吧，再把化妆棉放在下巴上，来回擦拭个一分钟。
	
然后把卸妆油涂在鼻子上，下巴上，脸颊上，然后揉一揉，用水冲掉。擦干后涂上面霜。
总结：
任何水杨酸类产品+任何卸妆油类产品 应该都能实现这种效果。
效果：
平常洗面奶洗脸，完全不能阻挡鼻子上冒出黑白头，摸起来就一个一个小凸起。我下巴也有很多小颗粒，不知道是脂肪粒还是黑白头。洗面奶再怎么揉也去不掉这些小脂肪粒。但是这样一顿操作之后，鼻子和下巴摸起来全是滑的，滑的，那些颗粒都被去掉了，超级爽
	
听说最强的去黑白头步骤是：水杨酸溶解+泥类清洁面膜吸出+卸妆油揉一揉带走。
但我感觉平时只水杨酸+卸妆油也足够啦",,1625980813000,1731489264000,5fb994d4000000000101ce47,butter honey 小红薯🍠🍠,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31gjvp5193s405ntpija0bji7cjilib0,1921,1871,60,330,,http://sns-webpic-qc.xhscdn.com/202604082219/4736d658ecd1a856932d2db95eb8bec6/ec6dcaea-4304-38f5-8717-94b8a5dcf068!nd_dft_wlteh_webp_3,,1775658006551,https://www.xiaohongshu.com/explore/60ea7f8d000000000102e905?xsec_token=ABppJ_hp8dEo03LE82VH0HXky4CrtJDyhQ2MaZNQvgUQE=&xsec_source=pc_search,宝拉珍选,ABppJ_hp8dEo03LE82VH0HXky4CrtJDyhQ2MaZNQvgUQE=
63f9b538000000000800d783,normal,宝拉2% 水杨酸正确用法,"大概三年前我在网上发现了这个产品于是趁打折入了不少。一开始是为了去掉脂肪粒，那时候刚开始尝试护肤。是的，奔四了才开始护肤的我[笑哭R] 我大干皮，但是基本不怎么长痘，倒是脂肪粒很喜欢我[哭惹R]一开始擦了一阵子之后容易脱皮我就断断续续用，感觉脂肪粒也没咋消失，反而脸蛋的皮肤好像有点敏感了，动不动红了。后来我去刷了官网的评价读到一条非常有用的评价，教你如何正确使用。根据那个评价我纠正了使用方法。原来的review我也懒得去找了，指不定被埋到哪页去了，四千多个评价呢，有空的妹妹自己去官网找去。根据大多数评价来看本产品对痘痘肌更有效。后来正确使用一阵子之后我额头又白又亮，还会缩小毛孔。有一天我家先生说我额头又白又亮，擦啥了？咋连毛孔都没有？哈哈哈。
	
#水杨酸[话题]# #护肤[话题]# #油痘肌护肤[话题]# #刷酸[话题]# #怎样刷酸祛痘[话题]# 不啰嗦了，下面分享使用方法：
1. 水杨酸毕竟是酸，一开始使用上脸的时候还是有那么一点刺激还有点黏糊，味道自然是不好闻的，不过过会儿味道淡去，也不粘腻了，反而很紧致光滑，发亮。我现在用一点不觉得刺激了，可能耐受了？清洗完脸擦干之后水杨酸倒到棉片上擦脸。如果你是敏感肌一开始使用请绕开脸蛋部分。我皮薄，也很干，所以我之前不擦脸蛋，只擦额头，T区和侧脸。眼周围尽量绕开。最近我试着擦脸蛋和上眼皮有脂肪粒的地方，不建议一开始就擦。
2. 等待10 分钟，一定要等，等水杨酸清理你的毛孔，发挥它的作用。如果实在没时间至少等五分钟。你可以擦完了去穿衣服，然后再来擦护肤品。
3. 护肤品该擦啥擦啥，水杨酸不洗掉哦，直接上护肤品。效果来的其实还挺快的。
	
就这么简单，我使用后感觉很妙哦。我皮薄，之前不会天天用，最近试着早晚都用，用一点时间再来分享效果。官网上一堆好评，尤其痘痘肌的好评巨多，基本都是皮肤又亮又滑又白了。白天紫外线记得擦防晒哦。
	
之前水杨酸用完了，中间断了很久，看最近打折又开始用起来了。我想知道我坚持用能否去掉我的脂肪粒。虽然我现在脂肪粒不太明显了，但是真的好期待这个酸能让我的皮肤更健康。那个barrier repair 我都没怎么用，所以也不知道好不好用。
	
Update：
如果你跟我一样大干皮，冬天少用或不用，改用浅蓝瓶的水杨酸，更温和。如果擦了皮肤干敏就立刻停缓缓。",,1677309240000,1768596628000,5f231db30000000001009d9e,小骨湾,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31c2g8jl70s005np33mpg97cur2jioko,1843,1868,277,203,,"http://sns-webpic-qc.xhscdn.com/202604082219/929ea404e7f693f72c46b2e0f5287e83/1000g00823m6ednufq0005np33mpg97cuunbls28!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/7f67322f13bfeedc6f4d70e5ca2b4330/1000g00823m6ednufq00g5np33mpg97cuafp0fh0!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/3a7b11b6e06f669bd4068afeca25b506/1000g00823m6ednufq0105np33mpg97cun512r2o!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/edc00e9c4104179e76b427119f814bf5/1000g00823m6ednufq01g5np33mpg97cuj2gc6j8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/86c9e848658b39c3b4af1fe01aecb0b9/1000g00823m6ednufq0205np33mpg97cus29j0ro!nd_dft_wlteh_webp_3","水杨酸,护肤,油痘肌护肤,刷酸,怎样刷酸祛痘",1775658006552,https://www.xiaohongshu.com/explore/63f9b538000000000800d783?xsec_token=ABmwcfLZawcycxy1f03CQ97oMTteSFuJzsd19qXMR0xgc=&xsec_source=pc_search,宝拉珍选,ABmwcfLZawcycxy1f03CQ97oMTteSFuJzsd19qXMR0xgc=
60a1017b000000000102c85d,normal,不是我吹这两我能用一辈子,"宝拉10的烟酰胺，smk0.25的视黄醇
果然这两成分就是天造地设的一对
之前有零零碎碎用含有烟酰胺的东东，但是都没这个好使，肤感很清爽，继续打call一万年！
smk家的0.5我有用过一瓶，现在稳中求稳，用回了0.25的。状态依旧不减，我很适应这个浓度，它和murad都是我的大爱，但是它更py！(hhh)肤感都是一样的，比起zo不知道好了多少，我会一年四季用的！murad的话会温和点。
我能很清楚的感受到肤质上有了质的飞跃，真心觉得不错，喜欢！爱！有广我吃💩！！！不过入门还是从0.1、0.2开始吧，毕竟这玩意儿不能一口吃成一个胖子。一段时间后你会发现你的脸在发光，用出没白买的感觉[赞R]！而不是用啥啥无感的感受。
喔对了主要就是光滑了，细腻了，亮了，不爱长痘了，大庆油田也变成中性好皮了！
如果日化线用不出个所以然，小众yo妆值得被看到！",,1621164411000,1621164412000,59e6e47de8ac2b6778fb6fc6,仙草小鹿,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30pef0gt9js6g49uktqi7qru6ds0ra1o,1801,1348,111,23,,http://sns-webpic-qc.xhscdn.com/202604082219/dd1f639934a2679bd38da77538c9671e/e9d22e32-4f46-307d-a074-03feb78b6c62!nd_dft_wgth_webp_3,,1775658006552,https://www.xiaohongshu.com/explore/60a1017b000000000102c85d?xsec_token=ABUVXVjmbb5yNPJJz1icgUkwjQPzEIUuYW7VqD4I-OJnQ=&xsec_source=pc_search,宝拉珍选,ABUVXVjmbb5yNPJJz1icgUkwjQPzEIUuYW7VqD4I-OJnQ=
671731ed0000000024014a22,video,皮肤博士的宝拉珍选Top 5爱用品❤️,"下次想看我分享哪个品牌的爱用品？
#护肤[话题]#  #护肤小知识[话题]#  #护肤日常[话题]#  #我的护肤日常[话题]#  #刷酸[话题]#  #痘痘[话题]#  #如何拯救痘痘肌[话题]#",http://sns-video-alos.xhscdn.com/stream/110/259/01e71731ed0d36ec0103770392b29b7fc6_259.mp4,1729680901000,1729573358000,60ba4337000000000100194d,DermTalk,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo311812rlsmc005o5q8crg86adl53nabo,1154,733,47,73,,http://sns-webpic-qc.xhscdn.com/202604082219/5b9a33289d2529c5a72e7be3a7306f55/spectrum/1040g34o3198b2lsgki705o5q8crg86adddedk70!nd_dft_wlteh_webp_3,"护肤,护肤小知识,护肤日常,我的护肤日常,刷酸,痘痘,如何拯救痘痘肌",1775658006553,https://www.xiaohongshu.com/explore/671731ed0000000024014a22?xsec_token=AB8N-PHddQGUnJ24bbB9bU2t32sWepRHLHuUy6ggR2Xws=&xsec_source=pc_search,宝拉珍选,AB8N-PHddQGUnJ24bbB9bU2t32sWepRHLHuUy6ggR2Xws=
603f0dd1000000002103a0d1,normal,CeraVe使用感受 早C晚A 宝拉珍选水杨酸,"本人29，混油，坐标墨尔本。
图1从左往右依次是：泡沫洁面，视黄醇精华，夜间保湿乳，日间保湿乳，维C精华，修复眼霜，保湿洁面。（两款精华的购买网站在图3！）
我的用法：
早晨：保湿洁面+维C精华+早间保湿+眼霜
晚上：泡沫洁面+夜间保湿+视黄醇+眼霜
感受：
保湿洁面：完全不起泡，洗完不清爽，不太喜欢；
维C精华：美白提亮效果基本没有，不过质地挺清爽像是啫喱，管口很小很好控制用量；
日间保湿：纯白色的质地很像是涂改液，味道就是一股防晒霜的味道，跟维C精华搭配有点搓泥，不太喜欢；
泡沫洁面：喜欢！味道淡淡草本味儿，有少量泡沫，洗完清爽也不假滑！就是chemist warehouse常年断货；
夜间保湿：非常合我心！没有味道，涂上零负担，立马吸收，第二天早晨也不再有大油脸！舒服啊！
视黄醇精华：瓶子质感很好！很好控制用量，精华的质地像是啫喱，没味道，抗皱这点没太感觉，不过我也没有特意留意，但是消痘印还挺有效果，而且皮肤光滑了！！上脸也没什么刺痛啊起皮啊泛红啊都没有；
眼霜：不喜欢，厚厚的，不好吸收，糊的慌。
成套用过一段时间之后我就改变策略了：
早：泡沫洁面+维C精华+夜间保湿+swisse眼霜+Ultralceuticals防晒
晚：泡沫洁面+视黄醇精华（隔几天用一次水杨酸）+夜间保湿+swiss眼霜
*swisse眼霜：抗衰老摩洛哥坚果眼霜，便宜，保湿，好吸收 （见图2）
*防晒：Ultraceuticals 50倍磨砂保湿防晒，小贵，能用个几年不成问题，油皮用也不闷得慌（见图2）
*水杨酸：宝拉珍选旅行装，用棉片擦拭，第二天早晨起来完全感觉不到自己是油皮了！！！我是隔几天用一次，用这个的当晚就不用视黄醇了（见图2）
目前这个搭配我很满意！倒不是说我的脸有什么翻天覆地的变化，不过感觉皮肤状态比较健康，不油不干，知足了！",,1614745041000,1619337002000,5b1b549411be102b86afc578,石宝猪本猪在此,https://sns-avatar-qc.xhscdn.com/avatar/5b8753129092e400013f3b78.jpg,1036,885,27,45,,"http://sns-webpic-qc.xhscdn.com/202604082219/d3e4e29ba6dc51988beed176e1b8475a/5ea43767-70ee-358f-be7f-587492c67521!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/5b4c4802e865e5cc49bd2f3f60d24c8b/1b906207-2ce5-3796-a8b4-678a66e8c6d8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/399e1f7179c3dac57bf0f2973173512f/7f7176a1-2ddc-3123-b1b3-d93b035f4587!nd_dft_wlteh_webp_3",,1775658006553,https://www.xiaohongshu.com/explore/603f0dd1000000002103a0d1?xsec_token=ABFJQzEhgppUf1aT5vvoxA87H03eiNYh8RvkAQm285MZc=&xsec_source=pc_search,宝拉珍选,ABFJQzEhgppUf1aT5vvoxA87H03eiNYh8RvkAQm285MZc=
68c4ece0000000001b01ee65,video,为什么宝拉敢做20%烟酰胺？,"宝拉珍选20%烟酰胺精华算得上是市面上的一朵奇葩（褒义！[偷笑R] 要知道在此之前，烟酰胺基本都是以3-5%的浓度配角的形式存在于护肤品里，所以烟酰胺虽然是护肤万金油，但你对它到底能实现什么效果，并没有清晰的体感。
	
所以去年宝拉总部西雅图时，我最想问副总裁Kate的问题就是，宝拉女士当初是怎么想到做20%高浓度烟酰胺的？Kate作为宝拉珍选最早的员工，给我们详细解释了烟酰胺精华的前世今生。",http://sns-video-alos.xhscdn.com/stream/1/110/259/01e8c4ecdf07e59b0103700399413dd5f2_259.mp4,1757736160000,1771142884000,5b5e9947e8ac2b5e9ac61595,耶鲁配方师Thomas,https://sns-avatar-qc.xhscdn.com/avatar/6473a3233e6d2bf88800e36a.jpg,995,466,148,72,,http://sns-webpic-qc.xhscdn.com/202604082219/14d936fd114d66e5aa371a6bd8eed156/1040g2sg31mbvuk2im8704a7m1qcke5cluraanso!nd_dft_wlteh_webp_3,,1775658006554,https://www.xiaohongshu.com/explore/68c4ece0000000001b01ee65?xsec_token=AB4t4No-CdZwCoIunvJAurPC1iWxEJXS_9zmbnabVKdMc=&xsec_source=pc_search,宝拉珍选,AB4t4No-CdZwCoIunvJAurPC1iWxEJXS_9zmbnabVKdMc=
652ceccf000000002301b3c4,normal,脂皮痤疮痘肌洁面分享,"我是思路就是抑菌+清洁
选择的是适乐肤祛痘洁面(抑菌)+宝拉珍选绿鼻涕(脂皮可用洁面)
我是我是长那种红肿大痘，医生开的药膏是过氧苯甲酰，主要就是杀菌的功效，所以放心买了这款适乐肤洁面。
这款洁面里面添加了4%的过氧苯甲酰，用来杀菌比用药膏方便。
使用频率大概是每周洗3-5次来抑制痘，比如红肿痘要冒没冒的时候，或者已经冒了红肿痘的时候，都用这个洗，管事。
质地很像乳液，不起泡，洗起来比较温和，见图二。
最后有一张我长红肿痘的图片，没聚焦好没拍好，供参考一下
	
因为是脂皮，平时日常洁面就用的宝拉珍选绿鼻涕，质地真的很像绿鼻涕，要搭配起泡网才好用，直接用感觉像鼻涕洗不干净
我油皮，洗起来我觉得清洁力一般吧，不太喜欢这种质地的😂猜到了不咋好用所以买的100ml
	
ps:经常冒红肿痘是皮肤基底有炎症，我打了一次伊肤泉小绿瓶后就基本消了那些红肿痘，所以这些产品都只是辅助作用，皮肤有问题的朋友不要单想靠洁面解决，请尽快就医
	
#脂溢性皮炎[话题]# #适乐肤[话题]# #痤疮[话题]# #宝拉珍选[话题]#",,1697443023000,1697443024000,5e12d3ee000000000100bf76,无厘头的怪兽,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313ah85d7g4005ngiqfn09frmc1g9geo,734,452,94,38,,"http://sns-webpic-qc.xhscdn.com/202604082219/031639f2a0108b5406a84d763a84c653/1040g00830q9i4rhj7e005ngiqfn09frm32h8lc8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/71447337ed4ea3a1adb55708ad7c70f0/1040g00830q9i4rhj7e0g5ngiqfn09frmbv4p1q8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/38f6c849a3472d3a791c001888864f34/1040g00830q9i4rhj7e105ngiqfn09frmfiadc90!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/bbef4bd3420156731e41225050153b18/1040g00830q9i4rhj7e1g5ngiqfn09frmb7jehi0!nd_dft_wlteh_webp_3","脂溢性皮炎,适乐肤,痤疮,宝拉珍选",1775658006555,https://www.xiaohongshu.com/explore/652ceccf000000002301b3c4?xsec_token=ABJQl4MDV0o_alGebYRIR2CD90B1fpE4GZMbp0cY430gY=&xsec_source=pc_search,宝拉珍选,ABJQl4MDV0o_alGebYRIR2CD90B1fpE4GZMbp0cY430gY=
68cdf614000000000b012944,normal,宝拉珍选到底怎么买？怎么搭？,"我向来不是那种为了卖货而组一推没用的东西、把护肤流程搞得更复杂的博主，事实是能用N件产品解决的问题，我绝不会多加一件，不然作为TJ型人格，我真的会因为没必要的冗余而浑身难受。
	
我只想用最少的产品解决大家最核心的问题，尤其针对出油长痘、毛孔粗大和暗沉粗糙的oily skin，其实你真的不必用太多，因为很多成分如烟酰胺、壬二酸和A醛等，本身就兼具修护、控油、抑痘和抗老等多重功效。
-
1、油痘肌
☀️白天：20%烟酰胺精华+物理防晒
🌙晚上：壬二酸精华+A醛精华
🆘爆痘期🉑用水杨酸精华代替壬二酸
⚠️水杨酸/壬二酸和A醛，两个都耐受后再从1周2次低频开始叠加，根据皮肤耐受情况调节叠加频率
💰省流：可直接入大庆油田套组
-
2、油痘敏
☀️白天：色沉修护精华+物理防晒
🌙晚上：A醛精华+壬二酸（初期点涂痘痘痘印，耐受后可逐渐涂全脸）
🆘爆痘期用抗老版水杨酸替代A醛精华
⚠️注意：A醛精华需从1周2次低频开始使用，如无任何泛红刺痛，则以3-4周为单位，逐步增加使用频率；建立耐受期间，用B5精华打底后再用A醛精华
-
3、油敏肌
☀️白天：色沉修护精华+物理防晒
🌙晚上：壬二酸精华+多肽面霜
-
4、敏感肌美白
☀️白天：C25精华+C5防晒/物理防晒
🌙晚上：色沉修护精华
-
5、耐受熟龄肌进阶抗老/美白
☀️白天：20%烟酰胺精华+防晒
🌙晚上：A醛/双A/1%A醇+多肽面霜
💡额外：如有美白需求，白天可叠加C25精华
💰省流：可入do家699福袋（偏美白淡斑）或2049大套组（偏饱满淡纹）",,1758328340000,1771142858000,5b5e9947e8ac2b5e9ac61595,耶鲁配方师Thomas,https://sns-avatar-qc.xhscdn.com/avatar/6473a3233e6d2bf88800e36a.jpg,621,663,140,68,,"http://sns-webpic-qc.xhscdn.com/202604082219/c0e831262b36bcc01f2c1d9fefed6cfd/notes_pre_post/1040g3k031mkqc3hi5i104a7m1qcke5cl1bka7ro!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/d2b2b03a1354fb596b0ba775c2295334/notes_pre_post/1040g3k031mkqc3hi5i1g4a7m1qcke5cl1g6f7fo!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/72f962e7c19593b01792ce6946e4272b/notes_pre_post/1040g3k031mkqc3hi5i004a7m1qcke5clajc7og8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/67b5206329b9e88a7bf5298d3c003f01/notes_pre_post/1040g3k031mkqc3hi5i204a7m1qcke5cl7mmmssg!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604082219/4218996ca967e0ad14d5e09cb1c20076/notes_pre_post/1040g3k031mkqc3hi5i0g4a7m1qcke5cliphdtrg!nd_dft_wlteh_webp_3",,1775658006555,https://www.xiaohongshu.com/explore/68cdf614000000000b012944?xsec_token=AB1v1ujYw0irqoXe8G1yZfjlpHE_XpBO76XAlw1Hk7SsU=&xsec_source=pc_search,宝拉珍选,AB1v1ujYw0irqoXe8G1yZfjlpHE_XpBO76XAlw1Hk7SsU=
